"","term","mean","sd","lowerCI","lowerQ","median","upperQ","upperCI","trait"
"1","Tmin",13.339025,1.56824301844094,10.5,12.4,13.3,14.2,16.8,"S"
"2","Tmax",24.424825,2.3219586940892,20.2,22.9,24.1,26.3,28.9,"S"
"3","Topt",22.8691166666667,1.99147978122605,19,21.7,22.8,24.3,26.5,"S"
"4","Tbreadth",11.0858,2.73182147977922,5.9,9.2,11,13,16.4,"S"
