term,mean,sd,lowerCI,median,upperCI,trait,lowerQ,upperQ
cf.T0,9.104030995711724,4.348500548458141,1.1035499120557588,9.132134699143727,17.51722498546266,lf,NA,NA
cf.Tm,33.348094545856945,2.59653805777161,28.11736477257092,33.37780125493228,38.65562922508708,lf,NA,NA
cf.q,0.6394234936007304,0.31383346143323126,0.29755744946913726,0.5418667303224114,1.5552813892448103,lf,NA,NA
cf.sigma,19.8454340685483,5.56896600795971,11.98208776478789,18.789231424609703,32.91432201488057,lf,NA,NA
deviance,244.79106724864585,9.248696391832974,229.30541581880394,244.29283583990954,263.24703815258283,lf,NA,NA
sigma_T0,6.9438828011278595,2.0731968744897236,2.3595402270526247,7.233424538480735,9.860432341508238,lf,NA,NA
sigma_Tm,3.1965882703030015,2.095274839720931,0.25132414342333775,2.759671423386448,8.555921569014831,lf,NA,NA
sigma_q,0.0498434984172525,0.028719043198832533,0.0026556476826782092,0.05008642520904789,0.09726791691336978,lf,NA,NA
Topt,21.22533333333333,2.202338699398391,17,21.5,25.5,lf,19.5,22.5
Tbreadth,24.244063550145224,5.654354961578076,13.473655647765835,24.330626309173837,34.69665580677737,lf,NA,NA
