"","cf.T0","cf.Tm","Tbreadth","iter"
"1",13.1,22.8,9.7,1
"2",13.6,29,15.4,2
"3",17.7,27.8,10.1,3
"4",13.6,23.7,10.1,4
"5",12.4,26.1,13.7,5
"6",12,26.7,14.7,6
"7",13.3,22.2,8.9,7
"8",11.9,22.5,10.6,8
"9",15.2,23.4,8.2,9
"10",13.7,26.8,13.1,10
"11",13.8,20.9,7.1,11
"12",13.6,23.5,9.9,12
"13",12.8,22.9,10.1,13
"14",13,25.6,12.6,14
"15",13.9,23.7,9.8,15
"16",13.1,21.4,8.3,16
"17",14.6,23.5,8.9,17
"18",12.4,26,13.6,18
"19",13.1,23.5,10.4,19
"20",13.3,20.2,6.9,20
"21",13.5,25.3,11.8,21
"22",16.1,30.1,14,22
"23",14,22.9,8.9,23
"24",16.5,27.3,10.8,24
"25",12.6,26.9,14.3,25
"26",12.6,24.4,11.8,26
"27",11.6,19.9,8.3,27
"28",13.2,23,9.8,28
"29",14,24.3,10.3,29
"30",14.1,26,11.9,30
"31",12,23.2,11.2,31
"32",14.7,29.6,14.9,32
"33",13.3,24.5,11.2,33
"34",12.1,24.7,12.6,34
"35",14.4,22.8,8.4,35
"36",11,22.9,11.9,36
"37",13.6,26.5,12.9,37
"38",13.8,25.2,11.4,38
"39",13.9,22.7,8.8,39
"40",10.1,23.3,13.2,40
"41",13.5,25.3,11.8,41
"42",13.4,24.5,11.1,42
"43",14.5,22.2,7.7,43
"44",12.8,22.3,9.5,44
"45",14,26.4,12.4,45
"46",12.1,20.2,8.1,46
"47",15.4,26.9,11.5,47
"48",13.7,24.5,10.8,48
"49",15.1,24.3,9.2,49
"50",11.8,23.5,11.7,50
"51",14.7,23.5,8.8,51
"52",13.7,22,8.3,52
"53",13,24,11,53
"54",13.2,23,9.8,54
"55",13.1,26.5,13.4,55
"56",10.6,23.3,12.7,56
"57",13.9,24.1,10.2,57
"58",14.4,27.6,13.2,58
"59",13.9,20,6.1,59
"60",13.4,24.1,10.7,60
"61",13,24.6,11.6,61
"62",11.9,28.3,16.4,62
"63",11.2,23.8,12.6,63
"64",11.7,26,14.3,64
"65",14.7,26.3,11.6,65
"66",13.4,22.3,8.9,66
"67",13.1,22.4,9.3,67
"68",14.3,24.2,9.9,68
"69",12.5,25.3,12.8,69
"70",14,23.9,9.9,70
"71",14,22.7,8.7,71
"72",12.8,24.3,11.5,72
"73",11.7,22.9,11.2,73
"74",12.3,21,8.7,74
"75",13,23,10,75
"76",11.1,20.9,9.8,76
"77",12.8,26.5,13.7,77
"78",17,27,10,78
"79",12.1,26.8,14.7,79
"80",13.6,23.8,10.2,80
"81",11.4,26.5,15.1,81
"82",11.8,24.1,12.3,82
"83",13.9,27.1,13.2,83
"84",14.1,23.2,9.1,84
"85",12.1,25.6,13.5,85
"86",0,0,0,86
"87",13.9,26.4,12.5,87
"88",17.3,21.8,4.5,88
"89",14.5,17.7,3.2,89
"90",12.2,21.4,9.2,90
"91",12,28,16,91
"92",13.9,23,9.1,92
"93",16.3,23.3,7,93
"94",13.9,22.9,9,94
"95",14.1,28.8,14.7,95
"96",12.2,22.7,10.5,96
"97",11,23.2,12.2,97
"98",11.9,24.9,13,98
"99",13.3,25.5,12.2,99
"100",14.3,23.4,9.1,100
"101",12.5,24.9,12.4,101
"102",13.2,22,8.8,102
"103",15.1,21.6,6.5,103
"104",11.6,30.7,19.1,104
"105",13.4,23.6,10.2,105
"106",10.3,24.8,14.5,106
"107",11.1,23.9,12.8,107
"108",11.8,26.6,14.8,108
"109",10.9,25.4,14.5,109
"110",12.7,23.1,10.4,110
"111",13.2,24.1,10.9,111
"112",13.4,24.3,10.9,112
"113",12,27.3,15.3,113
"114",9,25.8,16.8,114
"115",10.9,23.4,12.5,115
"116",14.3,25.8,11.5,116
"117",11.5,27.9,16.4,117
"118",12.6,24.9,12.3,118
"119",8.8,23.4,14.6,119
"120",9.5,26.6,17.1,120
"121",11.8,23.8,12,121
"122",15.4,29.3,13.9,122
"123",12.9,23.8,10.9,123
"124",12.9,27.3,14.4,124
"125",8.9,22.7,13.8,125
"126",11.6,22.3,10.7,126
"127",13.7,22.8,9.1,127
"128",11.7,27.8,16.1,128
"129",14.3,23.6,9.3,129
"130",13.5,23.3,9.8,130
"131",11.8,23,11.2,131
"132",13.2,27.2,14,132
"133",12.3,28.2,15.9,133
"134",12.5,28.5,16,134
"135",17.4,26.9,9.5,135
"136",14.1,21.5,7.4,136
"137",15.8,22.7,6.9,137
"138",13.9,23.2,9.3,138
"139",13.6,23.8,10.2,139
"140",13.2,27.5,14.3,140
"141",12.1,27.9,15.8,141
"142",13.2,24.3,11.1,142
"143",11.8,22.7,10.9,143
"144",9.3,23.8,14.5,144
"145",13.6,23.8,10.2,145
"146",12.2,22.5,10.3,146
"147",13,26,13,147
"148",13.8,23,9.2,148
"149",12.3,20.4,8.1,149
"150",13.1,23.8,10.7,150
"151",14.1,19.4,5.3,151
"152",14.8,23.2,8.4,152
"153",11.2,22.7,11.5,153
"154",13.4,20.6,7.2,154
"155",19.1,25.2,6.1,155
"156",11.5,24,12.5,156
"157",11.9,25.1,13.2,157
"158",12.6,24.5,11.9,158
"159",10.6,22.8,12.2,159
"160",10.9,23.8,12.9,160
"161",12.5,21.7,9.2,161
"162",11.9,22.5,10.6,162
"163",12.9,22.4,9.5,163
"164",11.2,22.4,11.2,164
"165",13.7,23.5,9.8,165
"166",11.7,24.6,12.9,166
"167",17.9,23.6,5.7,167
"168",13.5,24.6,11.1,168
"169",12.5,23.6,11.1,169
"170",15.7,22.3,6.6,170
"171",12.7,23.3,10.6,171
"172",11.5,27.4,15.9,172
"173",12.6,23.5,10.9,173
"174",15.3,31.1,15.8,174
"175",12.9,27.5,14.6,175
"176",13,23.9,10.9,176
"177",14.4,23.6,9.2,177
"178",16.4,25.6,9.2,178
"179",12.9,26.2,13.3,179
"180",13.5,26.3,12.8,180
"181",10.5,24.4,13.9,181
"182",15.7,22.8,7.1,182
"183",14.7,21.1,6.4,183
"184",13.2,23.2,10,184
"185",13,25.2,12.2,185
"186",13,26.4,13.4,186
"187",12.4,26.4,14,187
"188",11.4,26.4,15,188
"189",14,26.6,12.6,189
"190",13,22.2,9.2,190
"191",12.5,27.5,15,191
"192",12,26.5,14.5,192
"193",14.3,20.8,6.5,193
"194",13.3,24.7,11.4,194
"195",11.8,22.3,10.5,195
"196",13.2,25.4,12.2,196
"197",11.4,26.8,15.4,197
"198",16,25.2,9.2,198
"199",12.7,26.4,13.7,199
"200",14,25.1,11.1,200
"201",15.4,23.4,8,201
"202",14.9,21.2,6.3,202
"203",10.2,24.4,14.2,203
"204",13.6,25.2,11.6,204
"205",12.9,22.4,9.5,205
"206",13.7,27,13.3,206
"207",13.8,25.5,11.7,207
"208",14,27.6,13.6,208
"209",12.3,23.1,10.8,209
"210",12.8,23.2,10.4,210
"211",12.2,23.3,11.1,211
"212",15.7,26.7,11,212
"213",12.7,22.5,9.8,213
"214",13.1,23.9,10.8,214
"215",11,23.1,12.1,215
"216",13.1,24.7,11.6,216
"217",15.7,23.6,7.9,217
"218",13,23.5,10.5,218
"219",12.2,25,12.8,219
"220",13.8,26.6,12.8,220
"221",14.4,21.2,6.8,221
"222",16.6,27.7,11.1,222
"223",9.6,25.9,16.3,223
"224",13.1,21.3,8.2,224
"225",12.2,25.2,13,225
"226",13.1,23.9,10.8,226
"227",20.4,25.1,4.7,227
"228",11,24,13,228
"229",12.4,26.8,14.4,229
"230",12.7,23.3,10.6,230
"231",13.8,22,8.2,231
"232",13.8,23.8,10,232
"233",13,27.1,14.1,233
"234",13.9,20.3,6.4,234
"235",14.3,26.5,12.2,235
"236",13.9,24.2,10.3,236
"237",13.1,23.1,10,237
"238",14.8,26.1,11.3,238
"239",14.4,27.4,13,239
"240",14.9,26.1,11.2,240
"241",15,24.5,9.5,241
"242",15.6,23.6,8,242
"243",14.7,26.2,11.5,243
"244",13.7,24.8,11.1,244
"245",12.7,21.7,9,245
"246",12,22.1,10.1,246
"247",13.5,30.1,16.6,247
"248",11.1,26,14.9,248
"249",12.8,26.9,14.1,249
"250",14.3,25.2,10.9,250
"251",14.4,26.5,12.1,251
"252",12.4,28.1,15.7,252
"253",13.9,26.1,12.2,253
"254",13.6,25.9,12.3,254
"255",11.4,22.7,11.3,255
"256",12.8,20.7,7.9,256
"257",12.7,22.7,10,257
"258",11.9,27.2,15.3,258
"259",15.7,23.6,7.9,259
"260",11.7,27.6,15.9,260
"261",13.6,22,8.4,261
"262",12.8,23.2,10.4,262
"263",12.7,21,8.3,263
"264",17.7,27,9.3,264
"265",13.8,22.6,8.8,265
"266",11.8,24.4,12.6,266
"267",13.7,23.2,9.5,267
"268",13.4,23,9.6,268
"269",14.2,23.1,8.9,269
"270",16.8,23,6.2,270
"271",13.7,22.5,8.8,271
"272",13.1,23.2,10.1,272
"273",14.1,26.5,12.4,273
"274",13.9,26.7,12.8,274
"275",12.2,21.8,9.6,275
"276",15.7,23.9,8.2,276
"277",11.7,23.9,12.2,277
"278",12.2,29,16.8,278
"279",11.4,27,15.6,279
"280",12.8,24,11.2,280
"281",15.6,20.8,5.2,281
"282",13.4,23.6,10.2,282
"283",15.3,24.5,9.2,283
"284",14.6,24.4,9.8,284
"285",10,25.4,15.4,285
"286",12.5,23.4,10.9,286
"287",14.7,21.9,7.2,287
"288",12.8,26.7,13.9,288
"289",14.8,20.2,5.4,289
"290",14.6,26.5,11.9,290
"291",14.1,26.4,12.3,291
"292",14.8,23,8.2,292
"293",14.2,22.8,8.6,293
"294",13.5,26.6,13.1,294
