term,mean,sd,lowerCI,median,upperCI,trait,lowerQ,upperQ
cf.T0,0.5878402858332166,1.6348221007714916,2.568353922134034e-13,0.01088999780151765,5.248558836769499,EV,NA,NA
cf.Tm,37.64604142460505,3.5781619712450348,32.96654072394489,36.926309854395,46.62448310935612,EV,NA,NA
cf.q,4.3329425908689465e-4,1.2032960672939534e-4,2.2261198794748866e-4,4.2583136808767557e-4,6.919453160429199e-4,EV,NA,NA
cf.sigma,0.3541432030175397,0.18793927910892405,0.16405882987384787,0.3073390794517811,0.830618005241565,EV,NA,NA
deviance,2.4108111027243924,3.3057156628649786,-1.5996338991579007,1.645300139063393,11.373922605023983,EV,NA,NA
Topt,27.101033333333334,3.7029697448084113,20.1,27.3,34.3,EV,24.4,29.6
Tbreadth,37.058201138771835,3.867631521978354,30.30417917170957,36.494596264496565,46.16846913794018,EV,NA,NA
