Location,Suitability threshold,1950–1980,1995–2025,2030–2060,2070–2100
Cambridge Bay,S(T)>0.001,0.4 (1.1),1.9 (3.5),9.4 (8.0),7.2 (5.1)
Cambridge Bay,S(T)>0.5,0.1 (0.5),0.1 (0.5),0.6 (1.1),0.4 (0.7)
Kugluktuk,S(T)>0.001,3.8 (4.0),7.6 (6.7),18.5 (8.8),18.1 (8.8)
Kugluktuk,S(T)>0.5,0.9 (1.7),0.9 (1.7),4.0 (3.2),4.2 (4.0)
Yellowknife,S(T)>0.001,28.4 (9.9),41.4 (13.1),67.6 (10.8),71.5 (10.5)
Yellowknife,S(T)>0.5,8.2 (6.9),8.2 (6.9),23.6 (10.1),24.3 (9.4)
