Location,Suitability threshold,1950–1980,1995–2025,2030–2060,2070–2100
Cambridge Bay,S(T)>0.001,0.2 (0.6),0.5 (1.6),5.7 (7.0),14.2 (8.7)
Cambridge Bay,S(T)>0.5,0.0 (0.0),0.1 (0.4),1.4 (2.4),2.7 (3.0)
Kugluktuk,S(T)>0.001,1.9 (3.0),4.5 (4.9),15.3 (10.8),24.3 (10.2)
Kugluktuk,S(T)>0.5,0.4 (1.3),0.9 (2.0),4.9 (4.9),8.4 (5.5)
Yellowknife,S(T)>0.001,19.1 (8.3),30.7 (12.8),58.1 (14.2),76.5 (11.0)
Yellowknife,S(T)>0.5,4.4 (4.8),7.6 (6.6),25.2 (12.3),39.9 (9.9)
