"","term","mean","sd","lowerCI","lowerQ","median","upperQ","upperCI","trait"
"1","Tmin",13.46725,1.41151282962844,10.8,12.6,13.4,14.3,16.6,"S"
"2","Tmax",30.7507166666667,2.59490570432853,25.8,28.9,30.7,32.6,35.8,"S"
"3","Topt",24.331625,1.38338841484735,21.4,23.5,24.4,25.3,26.8,"S"
"4","Tbreadth",17.2834666666667,2.93561546109162,11.6,15.3,17.3,19.3,22.9,"S"
