iteration,cf.T0,cf.Tm,cf.q,trait
1,9.228513534601266,35.10781028530571,0.3432378806847584,EFGC
2,-0.6689354976163648,40.75605217668668,0.14735438322715988,EFGC
3,8.630945431996109,33.11496724006469,0.34269686704569935,EFGC
4,6.595156513070629,35.662751663704036,0.3353192873844063,EFGC
5,0.15581692259550772,35.235357856499,0.16083281564521545,EFGC
6,-0.9759562673451132,39.63191538770026,0.15237702014915666,EFGC
7,4.565737124526455,33.85805618998946,0.28312295172435664,EFGC
8,-1.0166351144882668,35.407905590236346,0.20435241763356674,EFGC
9,2.723777615397707,36.638040400526336,0.1902223401614809,EFGC
10,8.05150807943015,37.86104423404075,0.2891390637876799,EFGC
11,3.7549461408374105,34.59522665881908,0.26924772061260926,EFGC
12,0.2724754428810927,38.95222068163164,0.14540841225679682,EFGC
13,8.41802630414866,38.4543258391822,0.27982421285024617,EFGC
14,10.756515523247268,36.18179415661286,0.37149446655800283,EFGC
15,4.089521424636685,34.44823116710225,0.28653554741630244,EFGC
16,3.7128391443515323,37.73529407829957,0.2052540954084811,EFGC
17,-0.8518829930922025,39.90557452696524,0.0859836171352384,EFGC
18,5.273368250816047,38.64422864932497,0.20828009466995218,EFGC
19,10.544811110397676,35.53907758784744,0.38669312573134557,EFGC
20,7.733297626305898,37.0352308444193,0.2781359459719276,EFGC
21,4.7450032282454195,38.91628274981214,0.20622154997753162,EFGC
22,0.5419996965048117,40.55593079630514,0.15339838402578432,EFGC
23,5.152425163822873,37.20187411008941,0.2626158161621042,EFGC
24,9.2113690596362,33.02204755841185,0.43181568918281904,EFGC
25,-0.4107771250961827,37.76886352768008,0.1903746321379773,EFGC
26,4.188488936487932,35.65605415034178,0.22674446752366567,EFGC
27,11.198108749414764,34.138738150449775,0.5597254313224985,EFGC
28,8.1985847161548,33.53354391184665,0.3734508254635758,EFGC
29,11.123968587250088,32.11005806931767,0.5630584655006574,EFGC
30,6.690684123178118,33.291741575223824,0.34180071535914697,EFGC
31,5.858374811942026,34.86410877256701,0.27363093721768517,EFGC
32,6.848969278380231,36.83172199500923,0.28367261970335506,EFGC
33,2.0877208950935966,33.961486295873875,0.24807518039977314,EFGC
34,7.704253679441267,29.390320907582932,0.3506986775782381,EFGC
35,4.569248308485449,35.411831437258115,0.26286918023157996,EFGC
36,0.846333889880519,38.321423417441274,0.16864227118641228,EFGC
37,6.481809129239796,37.31797359613387,0.27230670184267874,EFGC
38,2.8059791768829303,30.975819414162736,0.3025379193378995,EFGC
39,-2.9100117959140404,33.786844916593935,0.18981142892915284,EFGC
40,2.937399108283315,36.10624272431162,0.21267767117494368,EFGC
41,10.891181535450842,29.89932814488418,0.6823228043492227,EFGC
42,9.403375643096298,36.52894322546991,0.3486945673625312,EFGC
43,1.5554195499093266,32.554461167312006,0.2999217310583139,EFGC
44,3.7791197919799266,32.07754525607648,0.3187054110879981,EFGC
45,5.804794064820392,35.235169994433505,0.3381626400599941,EFGC
46,10.19416212420247,40.910755218964475,0.25376916244440717,EFGC
47,3.6842623083090693,38.39795831047407,0.20166396933466504,EFGC
48,6.856037926636775,38.25708690241189,0.2543392327253938,EFGC
49,-1.6513636571226598,35.306631233114054,0.15552569276230713,EFGC
50,6.8573155888229085,35.937321577774796,0.29173225068848574,EFGC
51,8.431693087612972,40.90748945469986,0.24783932320625335,EFGC
52,6.861209723982336,32.611954032409876,0.3772385787727132,EFGC
53,-3.663729253718866,36.666655827592535,0.15233821733221267,EFGC
54,3.7689451746491365,35.3057259550325,0.23934728425546942,EFGC
55,7.8394178031246256,38.30442187389862,0.27696063306170987,EFGC
56,4.435374436850456,38.512068320932364,0.21810855605924562,EFGC
57,6.561483188468301,34.9627117998667,0.3315820375911646,EFGC
58,-0.4997843315440944,37.52271995733563,0.18083646258128733,EFGC
59,6.627273105144868,37.603828238854916,0.1979185249530777,EFGC
60,8.897807380220238,36.09010538682428,0.36867529209925265,EFGC
61,6.080914078010187,37.672246239846125,0.2770170028832001,EFGC
62,-0.6735401037679924,39.70256470249173,0.15349090557982548,EFGC
63,8.101767927163804,38.90711032967574,0.30183127440968344,EFGC
64,9.990996478827439,35.076263348825805,0.3392992113070866,EFGC
65,2.4024997168503193,35.633099307607814,0.22028100706815157,EFGC
66,1.6447172213592403,32.6540839797508,0.2933393150641811,EFGC
67,1.2579882557176365,39.181413633816426,0.16625484553065928,EFGC
68,5.747578445036593,31.57769343158236,0.4243025048197504,EFGC
69,3.662081990375592,40.58248241960794,0.15737045764675042,EFGC
70,10.789372062203165,29.947820890972807,0.8171279911161569,EFGC
71,8.709418351966,32.79868957677383,0.4612293774044781,EFGC
72,5.664069806632311,37.770020106176666,0.2789652788186892,EFGC
73,10.11442570994299,32.5866542093639,0.5062734420050372,EFGC
74,-1.5359536379821361,39.92549810901113,0.14011293874059183,EFGC
75,12.899102197460644,32.60664487552547,0.78659923164342,EFGC
76,10.849712223508527,32.480530418210606,0.4601118270210372,EFGC
77,7.74502060507478,32.2424298999037,0.40692559960622454,EFGC
78,6.289238524133468,33.087098019822555,0.3015446523437164,EFGC
79,3.1716227188789095,35.70559896541657,0.23417586933426393,EFGC
80,-1.9802305565907037,27.829225884878156,0.22481819427380867,EFGC
81,6.208383351016156,41.11481361251029,0.15752025062441127,EFGC
