term,mean,sd,lowerCI,median,upperCI,treatment
cf.T0,10.53690170319368,4.250361206430043,1.7968082716574743,10.739640269419564,18.45462143239177,EFGC
cf.Tm,35.289270374902934,2.8426680905903123,30.49067149545915,35.12562352210439,41.6604281708711,EFGC
cf.q,0.5955812686037119,0.187912420805068,0.25140613834584413,0.589799803872763,0.9576552706517382,EFGC
cf.sigma,37.74646079819152,8.530219692991588,25.93969894265384,36.02193563486934,59.24478638171118,EFGC
deviance,371.08460534830664,6.128586209197808,361.80400026736515,370.2327628225114,384.9649560087897,EFGC
sigma_T0,6.179722790625958,2.12009458148701,2.0792975263813154,6.1997222377942345,9.764207856333337,EFGC
sigma_Tm,4.319873549663284,2.4350981742495845,0.4093029706150593,3.995359399687552,9.386512999831458,EFGC
sigma_q,0.005034171081114871,0.0028890728026940843,2.727277636168009e-4,0.005007913130228234,0.00975561737281067,EFGC
Topt,22.913273333333333,2.5470102020513212,17.9,22.9,27.8,EFGC
Tbreadth,24.752368671709256,5.133076989752254,15.626397265440596,24.355734290291753,35.72891797144912,EFGC
