"","parameter","mean","med","lowerCI","upperCI","lowerQ","upperQ"
"1","Tmin",13.8117133333333,13.9,11.2,16.2,13,14.7
"2","Tmax",33.2726733333333,34.5,26.7,36.6,31.4,35.4
"3","peak",27.86864,28.1,25,29.8,27.2,28.7
