term,mean,sd,lowerCI,median,upperCI,trait
cf.T0,8.997079516,0.659393928,7.773931665,8.981321832,10.63411264,pLA
cf.Tm,41.86448584,2.025166632,38.59394011,41.63518716,46.51744497,pLA
cf.q,0.00312524,5.06E-04,0.002208262,0.003102225,0.004256221,pLA
cf.sigma,0.064428817,0.019040253,0.038883205,0.060914928,0.110424025,pLA
deviance,-33.674907,3.994651246,-38.61567976,-34.61942301,-23.72529973,pLA
Topt,25.43144,0.890754225,24,25.3,27.5,pLA
Tbreadth,32.86740632,2.429220878,28.47581015,32.65756,38.32088663,pLA
