iteration,cf.T0,cf.Tm,cf.q,trait
1,5.6258478881251595,33.1004930825407,0.004806817341417347,c
2,-2.940146830681151,36.28147798785032,0.0019162700255393613,c
3,4.386098777966181,35.35287174215477,0.003362461209624085,c
4,-1.7021231778694133,35.64795438009549,0.0022598637074178803,c
5,0.7426926335404112,32.027722074205556,0.0038613957794202854,c
6,3.8655276572961075,35.71547380836617,0.0032516928502982056,c
7,0.5591475467808769,36.45060902219808,0.002511405670643166,c
8,-1.604255485004019,36.09305484566929,0.0018982654220732792,c
9,3.9782807973674252,33.59666947545637,0.00395207249737479,c
10,3.746739445261806,36.61600908500815,0.003153048265976877,c
11,-3.197199262635368,36.56243271351401,0.002077385343052339,c
12,0.7267432706286581,32.90806064121402,0.0036553874817404214,c
13,-1.6424948118485858,35.10606404376437,0.0021220155582996336,c
14,4.298676608633443,35.126243422287885,0.0034709341082389197,c
15,-3.4479203607613944,34.825614196363205,0.0021840953432290156,c
16,-0.3134040311053292,34.35236075558246,0.0023093418864985043,c
17,2.213585463331449,34.68109127494998,0.003230965552769365,c
18,2.574869943766437,33.60915249083509,0.0034332568190015896,c
19,-0.13194941387212555,34.15856099302211,0.002648974400882776,c
20,6.972610451167096,33.78904627070485,0.0027553424065611676,c
21,6.780929978312971,32.93192827035783,0.004823753383864296,c
22,3.9201050808822115,31.79038093229292,0.004474066754201341,c
23,4.5461157940753925,33.26381184633688,0.004619027887184136,c
24,6.028929218779771,32.25853639946978,0.004416783084799879,c
25,1.9354289280606896,34.53427682087044,0.003194827661958115,c
26,-1.1800233534982287,36.130683155389484,0.001753180670209782,c
27,0.8177352997656389,37.09808644046419,0.002395112924667101,c
28,-2.0211122346825388,36.566343229826884,0.002258237324097534,c
29,6.198145584691561,44.961287859839054,0.0014567862851118676,c
30,2.9920680576591057,33.86662515103278,0.0035233315007371317,c
31,5.469986986198455,41.39651837266283,0.002767146020491844,c
32,1.0295131354431293,32.74500913859311,0.0032809122273898634,c
33,-1.1346350645430148,36.521388834183796,0.0018968346688132715,c
34,1.7015043649131938,36.569488955271446,0.0028462900715270027,c
35,0.9439633898422226,34.38472939246985,0.0029839578481690495,c
36,3.71974882390293,33.12641515694687,0.003194131977411006,c
37,3.749973114961483,32.45454233662658,0.003281254379941634,c
38,-1.9399535919072977,34.93831942097967,0.0021808857685242915,c
39,1.5531146271909915,35.051492953585395,0.002709645298582981,c
40,3.0870149929171546,36.621953824941606,0.0029518558747733035,c
41,0.2639357611292463,44.34491227758629,0.002049341504674926,c
42,4.129203964769757,33.89199990973462,0.0037385169085965746,c
43,2.868558172665585,33.91410891554198,0.003418124290882207,c
44,3.900328201451824,35.494349155121554,0.0034708534149606824,c
45,-1.4301367984941726,40.411951042237156,0.001734683412198674,c
46,4.442839687895223,34.0107233209401,0.004069376040518484,c
47,2.444858009973019,35.370416355808736,0.003028010707111337,c
48,2.132814609244142,34.55193831639205,0.003343877619057884,c
49,8.502507333490398,32.42914043270847,0.00753527134073913,c
50,0.6755456761296319,39.9487588768573,0.0025293202405906766,c
51,3.406110389202575,32.772173273432244,0.004114756538988749,c
52,-0.9413840520787864,36.215570073066495,0.0026944984068928137,c
53,2.2786505566916926,34.768046677173544,0.0031955034334286017,c
54,5.11197639021972,33.493670205489266,0.00459148240333565,c
55,1.6544053964874985,33.42096001588342,0.0034239829580267455,c
56,7.885935525106918,35.55851382218338,0.00467024576096701,c
57,2.78637514342344,35.72568875904674,0.0030443928235796306,c
58,5.108269016389828,32.040809052111925,0.003964399783210319,c
