"","term","mean","sd","lowerCI","lowerQ","median","upperQ","upperCI","trait"
"1","Tmin",13.8848395918095,1.39696853240299,10.9,13.1,14,14.7,16.4,"S"
"2","Tmax",33.6290602281065,2.42086366276726,27.4,32.6,34.5,35.3,36.4,"S"
"3","Topt",27.916334289335,1.18712717375338,25.2,27.3,28.1,28.7,29.8,"S"
"4","Tbreadth",19.7442206362969,2.82286367828729,13,18.3,20.3,21.6,24.1,"S"
