term,mean,sd,lowerCI,median,upperCI,trait
cf.T0,6.156967534,2.953689121,0.569816229,6.355174408,11.6501073,c
cf.Tm,38.5346123,2.489982802,35.38346267,37.95709043,45.63457074,c
cf.q,0.003405025,0.001147264,0.001591738,0.003286669,0.005952218,c
cf.sigma,0.160453741,0.094362265,0.064936494,0.134631519,0.418224887,c
deviance,-7.350097672,4.250567334,-13.09674928,-8.205348241,3.328406203,c
Topt,22.88144623,3.17497159,16.8,22.6,30.2,c
Tbreadth,32.37764477,4.486310483,25.01340028,31.81582827,42.35343644,c
