"","term","mean","sd","lowerCI","lowerQ","median","upperQ","upperCI","trait"
"1","Tmin",13.6861135196425,1.41735151879394,10.5,12.9,13.8,14.6,16.1,"S"
"2","Tmax",33.6290602281065,2.42086366276726,27.4,32.6,34.5,35.3,36.4,"S"
"3","Topt",27.7596211565397,1.18489286201819,25,27.1,27.9,28.6,29.7,"S"
"4","Tbreadth",19.9429467084639,2.82324166119067,13.2,18.6,20.5,21.8,24.4,"S"
