trait_name,temp,trait,error_pos,error_neg,trait2_name,trait2,genus,species,citation,doi,data_source,notes,error_unit,trait_def
lf,18,22.67,NA,NA,NA,NA,aedes,aegypti,Beserra_2009,NA,NA,NA,NA,NA
lf,22,24.74,NA,NA,NA,NA,aedes,aegypti,Beserra_2009,NA,NA,NA,NA,NA
lf,26,38.36,NA,NA,NA,NA,aedes,aegypti,Beserra_2009,NA,NA,NA,NA,NA
lf,28,22.36,NA,NA,NA,NA,aedes,aegypti,Beserra_2009,NA,NA,NA,NA,NA
lf,32,11.22,NA,NA,NA,NA,aedes,aegypti,Beserra_2009,NA,NA,NA,NA,NA
lf,34,10.92,NA,NA,NA,NA,aedes,aegypti,Beserra_2009,NA,NA,NA,NA,NA
lf,24,31.7,NA,NA,NA,NA,Aedes,aegypti,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,supplementary data,NA,NA,mean duration of life stage
lf,27,36.55,NA,NA,NA,NA,Aedes,aegypti,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,supplementary data,NA,NA,mean duration of life stage
lf,30,17.87,NA,NA,NA,NA,Aedes,aegypti,Goindin et al. 2015. Parity and longevity of Aedes aegypti according to temperatures in controlled conditions and consequences on dengue transmission risks. PLoS ONE 10(8): e0135489.,10.1371/journal.pone.0135489,supplementary data,NA,NA,mean duration of life stage
lf,16,10.22,2.73,2.73,NA,NA,Aedes,aegypti,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,table 4,NA,NA,mean duration of life stage
lf,22,26.56,1.56,1.56,NA,NA,Aedes,aegypti,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,table 4,NA,NA,mean duration of life stage
lf,28,27.45,2.05,2.05,NA,NA,Aedes,aegypti,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,table 4,NA,NA,mean duration of life stage
lf,33,22.64,2.11,2.11,NA,NA,Aedes,aegypti,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,table 4,NA,NA,mean duration of life stage
lf,36,9.49,3.77,3.77,NA,NA,Aedes,aegypti,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,table 4,NA,NA,mean duration of life stage
lf,16,14.76,2.74,2.74,NA,NA,Aedes,aegypti,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,table 4,NA,NA,mean duration of life stage
lf,22,34.71,1.88,1.88,NA,NA,Aedes,aegypti,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,table 4,NA,NA,mean duration of life stage
lf,28,30.08,3.95,3.95,NA,NA,Aedes,aegypti,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,table 4,NA,NA,mean duration of life stage
lf,33,22.16,1.98,1.98,NA,NA,Aedes,aegypti,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,table 4,NA,NA,mean duration of life stage
lf,36,10.53,1.68,1.68,NA,NA,Aedes,aegypti,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,table 4,NA,NA,mean duration of life stage
lf,16,12.93,2.44,2.44,NA,NA,Aedes,aegypti,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,table 4,NA,NA,mean duration of life stage
lf,22,25.44,4.13,4.13,NA,NA,Aedes,aegypti,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,table 4,NA,NA,mean duration of life stage
lf,28,23.3,2.16,2.16,NA,NA,Aedes,aegypti,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,table 4,NA,NA,mean duration of life stage
lf,33,15.05,3.33,3.33,NA,NA,Aedes,aegypti,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,table 4,NA,NA,mean duration of life stage
lf,36,7.1,1.45,1.45,NA,NA,Aedes,aegypti,Marinho et al. 2016. Effects of temperature on the life cycle expansion and dispersion of Aedes aegypti (Diptera: Culicidae) in three cities in Paraiba Brazil. J Vec. Ecol. 41:1,10.1111/jvec.12187,table 4,NA,NA,mean duration of life stage
lf,10.54,13.18,0.9,0.9,NA,NA,Aedes,aegypti,Yang et al. 2009. Assessing the effects of temperature on the population of Aedes aegypti the vector of dengue. Epidemiology & Infection 137,10.1017/S0950268809002040,table 4,NA,se,mean duration of life stage
lf,10.76,10.91,0.87,0.87,NA,NA,Aedes,aegypti,Yang et al. 2009. Assessing the effects of temperature on the population of Aedes aegypti the vector of dengue. Epidemiology & Infection 137,10.1017/S0950268809002040,table 4,NA,se,mean duration of life stage
lf,15.3,27.71,2.44,2.44,NA,NA,Aedes,aegypti,Yang et al. 2009. Assessing the effects of temperature on the population of Aedes aegypti the vector of dengue. Epidemiology & Infection 137,10.1017/S0950268809002040,table 4,NA,se,mean duration of life stage
lf,16.52,30.62,3.82,3.82,NA,NA,Aedes,aegypti,Yang et al. 2009. Assessing the effects of temperature on the population of Aedes aegypti the vector of dengue. Epidemiology & Infection 137,10.1017/S0950268809002040,table 4,NA,se,mean duration of life stage
lf,20.05,23.72,1.73,1.73,NA,NA,Aedes,aegypti,Yang et al. 2009. Assessing the effects of temperature on the population of Aedes aegypti the vector of dengue. Epidemiology & Infection 137,10.1017/S0950268809002040,table 4,NA,se,mean duration of life stage
lf,21.79,26.9,4.22,4.22,NA,NA,Aedes,aegypti,Yang et al. 2009. Assessing the effects of temperature on the population of Aedes aegypti the vector of dengue. Epidemiology & Infection 137,10.1017/S0950268809002040,table 4,NA,se,mean duration of life stage
lf,25.64,32.87,3.69,3.69,NA,NA,Aedes,aegypti,Yang et al. 2009. Assessing the effects of temperature on the population of Aedes aegypti the vector of dengue. Epidemiology & Infection 137,10.1017/S0950268809002040,table 4,NA,se,mean duration of life stage
lf,27.64,36.91,3.1,3.1,NA,NA,Aedes,aegypti,Yang et al. 2009. Assessing the effects of temperature on the population of Aedes aegypti the vector of dengue. Epidemiology & Infection 137,10.1017/S0950268809002040,table 4,NA,se,mean duration of life stage
lf,31.33,22.77,1.58,1.58,NA,NA,Aedes,aegypti,Yang et al. 2009. Assessing the effects of temperature on the population of Aedes aegypti the vector of dengue. Epidemiology & Infection 137,10.1017/S0950268809002040,table 4,NA,se,mean duration of life stage
lf,31.65,29.26,1.72,1.72,NA,NA,Aedes,aegypti,Yang et al. 2009. Assessing the effects of temperature on the population of Aedes aegypti the vector of dengue. Epidemiology & Infection 137,10.1017/S0950268809002040,table 4,NA,se,mean duration of life stage
lf,32.55,22.53,1.26,1.26,NA,NA,Aedes,aegypti,Yang et al. 2009. Assessing the effects of temperature on the population of Aedes aegypti the vector of dengue. Epidemiology & Infection 137,10.1017/S0950268809002040,table 4,NA,se,mean duration of life stage
lf,33.41,20.07,1.55,1.55,NA,NA,Aedes,aegypti,Yang et al. 2009. Assessing the effects of temperature on the population of Aedes aegypti the vector of dengue. Epidemiology & Infection 137,10.1017/S0950268809002040,table 4,NA,se,mean duration of life stage
lf,22,8,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,5,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,5,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,6,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,4,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,6,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,9,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,1,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,7,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,7,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,7,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,5,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,9,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,7,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,7,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,6,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,8,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,9,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,11,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,6,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,8,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,8,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,3,NA,NA,resource supply (mg individual-1 day-1),0.1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,26,6,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,15,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,11,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,26,8,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,26,4,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,26,6,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,14,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,12,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,11,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,12,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,9,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,12,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,11,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,8,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,13,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,wing length was not measured for this individual: zero assigned,NA,individual-level duration of life stage
lf,22,11,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,12,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,15,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,13,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,wing length was not measured for this individual: zero assigned,NA,individual-level duration of life stage
lf,22,13,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,12,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,15,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,9,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
lf,22,10,NA,NA,resource supply (mg individual-1 day-1),1,Aedes,aegypti,Huxley et al. 2021. The effect of resource limitation on the temperature-dependance of mosquito fitness. Proc. R. Soc. B. 288: 20203217.,10.1098/rspb.2020.3217,supplementary material,NA,NA,individual-level duration of life stage
