"","parameter","mean","med","lowerCI","upperCI","lowerQ","upperQ"
"1","Tmin",15.5707266666667,15.4,14.2,17.7,15,16
"2","Tmax",31.3868666666667,32.1,26.7,32.6,31.5,32.3
"3","peak",27.6485466666667,27.8,25.5,28.7,27.4,28.2
