"","term","mean","sd","lowerCI","lowerQ","median","upperQ","upperCI","trait"
"1","Tmin",13.6861135196425,1.41735151879394,10.5,12.9,13.8,14.6,16.1,"S"
"2","Tmax",32.3537450810378,2.10717177905918,27.2,31.3,32.7,33.9,35.5,"S"
"3","Topt",26.8109250983792,1.05704459745505,24.5,26.2,26.9,27.5,28.7,"S"
"4","Tbreadth",18.6676315613953,2.54899327225948,13,17.2,18.9,20.4,23.2,"S"
