iteration,cf.T0,cf.Tm,cf.q,Tbreadth,traitTreatmentName
1,10.654768672075484,26.463683934466154,1.673163276235006e-4,15.80891526239067,PDR
2,9.755454535807786,37.15711048289896,6.784891296083648e-5,27.40165594709117,PDR
3,9.06321325435098,38.59320718516328,5.7511482059018393e-5,29.5299939308123,PDR
4,10.166570956070197,39.097844309072904,7.135415443388013e-5,28.93127335300271,PDR
5,8.60532578481487,37.85481237366588,6.05910838474135e-5,29.24948658885101,PDR
6,10.473663171121757,36.734617513457025,8.220713481835488e-5,26.260954342335268,PDR
7,6.025198099465222,42.7324113199224,3.843734336026596e-5,36.70721322045718,PDR
8,11.960589358393246,28.765236387406638,1.4390695739503588e-4,16.804647029013392,PDR
9,13.35946010206088,26.175660042533934,2.4475362409349504e-4,12.816199940473055,PDR
10,9.799171223564704,28.18808277232744,1.0567110120266167e-4,18.388911548762735,PDR
11,12.2523003907855,38.86142473159843,8.238142100588868e-5,26.609124340812933,PDR
12,10.092000000157158,40.32968259140411,7.36473527944759e-5,30.23768259124695,PDR
13,10.143743414682827,33.58057152391202,8.319295353306089e-5,23.436828109229193,PDR
14,11.353533438379985,34.97029967084822,8.191880058326911e-5,23.616766232468237,PDR
15,7.261788987897237,46.295692778688235,4.727151568872054e-5,39.033903790791,PDR
16,13.110725706130646,32.00003065673807,1.067751075860443e-4,18.889304950607425,PDR
17,11.042445396545567,42.22542919698155,7.534909749576289e-5,31.182983800435984,PDR
18,9.484759365285996,37.59509451765369,5.673514074809784e-5,28.110335152367696,PDR
19,10.877898621109148,41.860132871334315,7.291346845130593e-5,30.98223425022517,PDR
20,6.779803332818482,50.47478555070447,3.946431864046954e-5,43.694982217885986,PDR
21,12.321166352205156,35.776200623298664,6.515968994395921e-5,23.45503427109351,PDR
22,12.276360113899909,28.979490334709883,1.0892965493019714e-4,16.703130220809975,PDR
23,12.755847335521626,33.166163386145904,1.1608547225363026e-4,20.410316050624278,PDR
24,11.171999697459347,27.373862945425852,1.4442004962451782e-4,16.201863247966507,PDR
25,7.11266204642101,44.17787971650455,3.7991652602155634e-5,37.06521767008354,PDR
26,11.501317812012479,31.912954577161678,1.0638728134582005e-4,20.411636765149197,PDR
27,9.702674326805997,34.24805632889179,9.094893173835709e-5,24.545382002085795,PDR
28,12.934715874186857,31.809786694318216,1.251139815879698e-4,18.87507082013136,PDR
