iteration,cf.T0,cf.Tm,cf.q,Tbreadth,traitTreatmentName
1,9.310141286789317,36.78478648120486,0.004806817341417347,27.474645194415544,c
2,0.7441465679830073,39.96577138651448,0.0019162700255393613,39.221624818531474,c
3,8.070392176630339,39.03716514081893,0.003362461209624085,30.96677296418859,c
4,1.9821702207947447,39.33224777875965,0.0022598637074178803,37.35007755796491,c
5,4.426986032204569,35.712015472869716,0.0038613957794202854,31.28502944066515,c
6,7.549821055960265,39.39976720703033,0.0032516928502982056,31.849946151070064,c
7,4.243440945445035,40.13490242086224,0.002511405670643166,35.8914614754172,c
8,2.080037913660139,39.77734824433345,0.0018982654220732792,37.69731033067331,c
9,7.662574196031583,37.28096287412053,0.00395207249737479,29.618388678088948,c
10,7.431032843925964,40.30030248367231,0.003153048265976877,32.86926963974635,c
11,0.48709413602879004,40.24672611217817,0.002077385343052339,39.759631976149386,c
12,4.411036669292816,36.59235403987818,0.0036553874817404214,32.18131737058536,c
13,2.041798586815572,38.79035744242853,0.0021220155582996336,36.748558855612956,c
14,7.982970007297601,38.810536820952045,0.0034709341082389197,30.827566813654443,c
15,0.2363730379027634,38.509907595027364,0.0021840953432290156,38.2735345571246,c
16,3.3708893675588287,38.03665415424662,0.0023093418864985043,34.66576478668779,c
17,5.897878861995607,38.36538467361414,0.003230965552769365,32.46750581161853,c
18,6.259163342430595,37.29344588949925,0.0034332568190015896,31.034282547068656,c
19,3.5523439847920324,37.84285439168627,0.002648974400882776,34.290510406894235,c
20,10.656903849831254,37.47333966936901,0.0027553424065611676,26.81643581953776,c
21,10.465223376977129,36.61622166902199,0.004823753383864296,26.15099829204486,c
22,7.6043984795463695,35.47467433095708,0.004474066754201341,27.87027585141071,c
23,8.23040919273955,36.94810524500104,0.004619027887184136,28.717696052261488,c
24,9.713222617443929,35.94282979813394,0.004416783084799879,26.229607180690014,c
25,5.6197223267248475,38.2185702195346,0.003194827661958115,32.59884789280975,c
26,2.504270045165929,39.814976554053644,0.001753180670209782,37.31070650888771,c
27,4.502028698429797,40.78237983912835,0.002395112924667101,36.280351140698556,c
28,1.6631811639816192,40.250636628491044,0.002258237324097534,38.587455464509425,c
29,9.88243898335572,48.64558125850321,0.0014567862851118676,38.763142275147494,c
30,6.676361456323264,37.55091854969694,0.0035233315007371317,30.874557093373674,c
31,9.154280384862613,45.08081177132699,0.002767146020491844,35.926531386464376,c
32,4.713806534107287,36.42930253725727,0.0032809122273898634,31.715496003149983,c
33,2.549658334121143,40.205682232847956,0.0018968346688132715,37.656023898726815,c
34,5.385797763577352,40.253782353935605,0.0028462900715270027,34.867984590358255,c
35,4.628256788506381,38.06902279113401,0.0029839578481690495,33.440766002627626,c
36,7.404042222567088,36.81070855561103,0.003194131977411006,29.40666633304394,c
37,7.434266513625641,36.13883573529074,0.003281254379941634,28.7045692216651,c
38,1.7443398067568603,38.62261281964383,0.0021808857685242915,36.878273012886964,c
39,5.237408025855149,38.735786352249555,0.002709645298582981,33.4983783263944,c
