term,mean,sd,lowerCI,median,upperCI,treatment,lowerQ,upperQ
cf.T0,1.9112119129055232,1.5992106474456789,0.09162272607845784,1.5826605200949933,5.439698077286255,EV,NA,NA
cf.Tm,48.71046033963403,3.803583744850727,41.26434082097049,48.711397325329315,56.08807728199201,EV,NA,NA
cf.q,0.0018544734580073522,4.854445501904236e-4,0.0012407405456590565,0.0017528625559833722,0.003042039920341885,EV,NA,NA
cf.sigma,0.11340182393885863,0.08237742651626993,0.040890756585747874,0.09214179842824578,0.32078278338150296,EV,NA,NA
deviance,-11.953633992122842,5.048221790044837,-19.222149103629054,-12.761323274949396,-0.021956011750005933,EV,NA,NA
Topt,24.713737706182584,3.75755593721064,17.4,24.7,32.3,EV,22.3,27.1
Tbreadth,46.79924842672851,4.696387224915071,37.173574309160564,47.036947453910486,55.24892456270037,EV,NA,NA
