term,mean,sd,lowerCI,lowerQ,median,upperQ,upperCI,trait
cf.T0,4.730001046,4.068589141,-3.252507668,1.693106612,5.107844345,7.892127288,11.62685156,EFGC
cf.Tm,35.48938195,2.873634118,29.49257509,33.55910093,35.49526245,37.58928274,40.51686797,EFGC
cf.q,0.2915374,0.136684023,0.129797839,0.19277105,0.25832702,0.352969858,0.650931118,EFGC
Topt,20.10971333,1.937739742,16.1,18.8,20.2,21.5,23.6,EFGC
