"","temperature","lowerCI","upperCI","lowerQ","upperQ","mean","median","treatment","scaled_median"
"50",4.9,0,0,0,0,0,0,"S",0
"51",5,0,0,0,0,0,0,"S",0
"52",5.1,0,0,0,0,0,0,"S",0
"53",5.2,0,0,0,0,0,0,"S",0
"54",5.3,0,0,0,0,0,0,"S",0
"55",5.4,0,0,0,0,0,0,"S",0
"56",5.5,0,0,0,0,0,0,"S",0
"57",5.6,0,0,0,0,0,0,"S",0
"58",5.7,0,0,0,0,0,0,"S",0
"59",5.8,0,0,0,0,0,0,"S",0
"60",5.9,0,0,0,0,0,0,"S",0
"61",6,0,0,0,0,0,0,"S",0
"62",6.1,0,0,0,0,0,0,"S",0
"63",6.2,0,0,0,0,0,0,"S",0
"64",6.3,0,0,0,0,0,0,"S",0
"65",6.4,0,0,0,0,0,0,"S",0
"66",6.5,0,0,0,0,0,0,"S",0
"67",6.6,0,0,0,0,0,0,"S",0
"68",6.7,0,0,0,0,0,0,"S",0
"69",6.8,0,0,0,0,0,0,"S",0
"70",6.9,0,0,0,0,0,0,"S",0
"71",7,0,0,0,0,0,0,"S",0
"72",7.1,0,0,0,0,0,0,"S",0
"73",7.2,0,0,0,0,0,0,"S",0
"74",7.3,0,0,0,0,0,0,"S",0
"75",7.4,0,0,0,0,0,0,"S",0
"76",7.5,0,0,0,0,0,0,"S",0
"77",7.6,0,0,0,0,0,0,"S",0
"78",7.7,0,0,0,0,0,0,"S",0
"79",7.8,0,0,0,0,0,0,"S",0
"80",7.9,0,0,0,0,0,0,"S",0
"81",8,0,0,0,0,0,0,"S",0
"82",8.1,0,0,0,0,0,0,"S",0
"83",8.2,0,0,0,0,0,0,"S",0
"84",8.3,0,0,0,0,0,0,"S",0
"85",8.4,0,0,0,0,4.24404779137298e-10,0,"S",0
"86",8.5,0,0,0,0,1.77356675359626e-09,0,"S",0
"87",8.6,0,0,0,0,3.45293520994867e-09,0,"S",0
"88",8.7,0,0,0,0,5.82297284742556e-09,0,"S",0
"89",8.8,0,0,0,0,9.13877194147915e-09,0,"S",0
"90",8.9,0,0,0,0,1.66199978476557e-08,0,"S",0
"91",9,0,0,0,0,2.60009121653071e-08,0,"S",0
"92",9.1,0,0,0,0,4.07408654039822e-08,0,"S",0
"93",9.2,0,0,0,0,6.32612605700648e-08,0,"S",0
"94",9.3,0,0,0,0,9.75951108880596e-08,0,"S",0
"95",9.4,0,0,0,0,1.56692624075067e-07,0,"S",0
"96",9.5,0,0,0,0,2.39882992224972e-07,0,"S",0
"97",9.6,0,0,0,0,3.58459538407795e-07,0,"S",0
"98",9.7,0,0,0,0,5.23865551492461e-07,0,"S",0
"99",9.8,0,0,0,0,7.50194492706388e-07,0,"S",0
"100",9.9,0,0,0,0,1.05492770002746e-06,0,"S",0
"101",10,0,0,0,0,1.45981526298094e-06,0,"S",0
"102",10.1,0,0,0,0,1.99200001927068e-06,0,"S",0
"103",10.2,0,0,0,0,2.68708842184233e-06,0,"S",0
"104",10.3,0,0,0,0,3.59405427945503e-06,0,"S",0
"105",10.4,0,0,0,0,4.78044237048173e-06,0,"S",0
"106",10.5,0,0,0,0,6.33972239851998e-06,0,"S",0
"107",10.6,0,0,0,0,8.38695669615307e-06,0,"S",0
"108",10.7,0,0,0,0,1.1202638351197e-05,0,"S",0
"109",10.8,0,0,0,0,1.48734434756887e-05,0,"S",0
"110",10.9,0,0,0,0,1.97264335865794e-05,0,"S",0
"111",11,0,0,0,0,2.62869169687707e-05,0,"S",0
"112",11.1,0,0,0,0,3.52045046947315e-05,0,"S",0
"113",11.2,0,0,0,0,4.68681035600534e-05,0,"S",0
"114",11.3,0,0,0,0,6.22894699902272e-05,0,"S",0
"115",11.4,0,0,0,0,8.24931934848849e-05,0,"S",0
"116",11.5,0,6.6305398415229e-10,0,0,0.000108944051888986,0,"S",0
"117",11.6,0,2.80579524852715e-06,0,0,0.000142943821476565,0,"S",0
"118",11.7,0,3.49667629612974e-05,0,0,0.000187043218818604,0,"S",0
"119",11.8,0,0.000193482002731159,0,0,0.000244432313372778,0,"S",0
"120",11.9,0,0.000517393985901537,0,0,0.000318785770895013,0,"S",0
"121",12,0,0.00103972470962383,0,0,0.000414640616420326,0,"S",0
"122",12.1,0,0.00211076196005368,0,0,0.000538800852153175,0,"S",0
"123",12.2,0,0.00374130147879626,0,0,0.000698287998154153,0,"S",0
"124",12.3,0,0.00604196590828121,0,0,0.000901859986027453,0,"S",0
"125",12.4,0,0.00906192789790712,0,0,0.00116132018876003,0,"S",0
"126",12.5,0,0.0126011610502639,0,0,0.00148798128964834,0,"S",0
"127",12.6,0,0.0175294252490155,0,0,0.00189830421056705,0,"S",0
"128",12.7,0,0.0238936381114448,0,0,0.00241319420900744,0,"S",0
"129",12.8,0,0.0324950993481645,0,0,0.00305774514780656,0,"S",0
"130",12.9,0,0.0415286352507739,0,0,0.00385573791495558,0,"S",0
"131",13,0,0.0520107559764627,0,0,0.00484043872002422,0,"S",0
"132",13.1,0,0.0660382752164387,0,0,0.00605191259209778,0,"S",0
"133",13.2,0,0.0817013893775894,0,0,0.00753896084415232,0,"S",0
"134",13.3,0,0.100528152883244,0,0,0.0093548806683695,0,"S",0
"135",13.4,0,0.125234001246685,0,2.31908156952387e-50,0.0115621424006433,0,"S",0
"136",13.5,0,0.148780580997123,0,0.000112865138961796,0.0142320581095904,0,"S",0
"137",13.6,0,0.178836312184894,0,0.000906950070610815,0.0174503046727149,0,"S",0
"138",13.7,0,0.211507386614796,0,0.00280300692463111,0.0213260492638486,0,"S",0
"139",13.8,0,0.251054452477293,0,0.00601331552159372,0.0259682269884289,0,"S",0
"140",13.9,0,0.291945105672822,0,0.010805300595737,0.031492997125217,0,"S",0
"141",14,0,0.338385808067593,0,0.0178168017273055,0.0380561356041028,0,"S",0
"142",14.1,0,0.392700901614421,0,0.0271980126532838,0.045791541645101,0,"S",0
"143",14.2,0,0.449878996798586,0,0.0388060387859543,0.0549038980431642,0,"S",0
"144",14.3,0,0.516229467170509,0,0.0532585008610955,0.0655853479950387,5.67154664553106e-10,"S",9.1602764847788e-12
"145",14.4,0,0.592664335478231,0,0.0712522751495814,0.0780609302364869,0.000805654804495191,"S",1.30123601580206e-05
"146",14.5,0,0.67138830514062,0,0.0920299516940995,0.0925576214444516,0.00361685568292561,"S",5.84168660364421e-05
"147",14.6,0,0.754981189606832,0,0.11720031817893,0.109389384183091,0.00889142612479311,"S",0.000143607955179682
