term,mean,sd,lowerCI,median,upperCI,trait,lowerQ,upperQ
cf.T0,8.458786625811074,3.553006024572978,0.41679667615929056,9.22722252416633,13.793758769235378,PDR,NA,NA
cf.Tm,38.247414862707664,7.201202221607999,27.327380158104244,37.265267529519726,54.83234107070687,PDR,NA,NA
cf.q,7.030662010253283e-5,3.326013580933356e-5,2.735620913136573e-5,6.390691105975296e-5,1.5502085922166077e-4,PDR,NA,NA
cf.sigma,0.01443834201914681,0.007391183982129737,0.006735245246537313,0.012600368117235175,0.03317627261841045,PDR,NA,NA
deviance,-41.75677277612539,4.091308300672795,-46.88211121466598,-42.62057107061877,-32.02697222435174,PDR,NA,NA
Topt,30.361101449275363,7.556994446024663,8.6,30.4,44.4,PDR,26.7,34.8
Tbreadth,29.788628236896592,8.682542539905128,15.564394431178837,28.96563331796699,48.64000396118013,PDR,NA,NA
