iteration,cf.T0,cf.Tm,cf.q,Tbreadth,traitTreatmentName
1,14.062015050962263,31.088493869286424,0.7971194137772173,17.02647881832416,EFGC
2,12.872841704914016,30.282653746780024,0.7712882311815813,17.409812041866008,EFGC
3,11.98261929243599,30.79194782384324,0.7380762105173487,18.809328531407253,EFGC
4,16.4192372175958,31.95360317399308,0.8195955314646799,15.53436595639728,EFGC
5,9.955392753546423,30.892142589369534,0.672398305971378,20.93674983582311,EFGC
6,8.762648415218191,36.92903441729369,0.5982169105295305,28.1663860020755,EFGC
7,18.162408583990366,30.975775920574225,0.8232612110541122,12.813367336583859,EFGC
8,9.614191139502172,32.09659278263976,0.41376095271823277,22.48240164313759,EFGC
9,6.554346158476493,38.74632022146171,0.2778925957234462,32.19197406298522,EFGC
10,14.933315438266352,30.888515883205606,0.7878626195983406,15.955200444939255,EFGC
11,10.495177732939858,31.21645092957641,0.3642139597299893,20.721273196636552,EFGC
12,14.425917371105147,35.382614965258625,0.6929029635645512,20.95669759415348,EFGC
13,13.795656457784064,32.85123920411219,0.7210961531612132,19.055582746328128,EFGC
14,14.743955943345165,36.1550769939608,0.5730923310303682,21.411121050615634,EFGC
15,11.81307757193974,34.3345712845718,0.895391511093769,22.52149371263206,EFGC
16,12.443437564790903,36.45821699516624,0.48881595343173473,24.014779430375334,EFGC
17,15.990665763552194,35.63104378804057,0.5644166584000749,19.640378024488378,EFGC
18,16.517991384980956,33.43217622834262,0.7265747697399961,16.914184843361664,EFGC
19,14.525701121566703,35.46564840109623,0.6990400062789334,20.939947279529527,EFGC
20,11.855452404739669,33.788464171456994,0.7767566879610756,21.933011766717325,EFGC
21,16.17611293513099,33.482578295728494,0.8611510599815262,17.306465360597503,EFGC
22,17.90997713377901,37.219581923348336,0.8349995498300726,19.309604789569327,EFGC
23,1.1197471263113643,35.66785775091632,0.4442507037092742,34.54811062460495,EFGC
24,8.632944496428536,31.03707606555103,0.5888504032090189,22.404131569122494,EFGC
25,7.717262679883548,36.202159431033685,0.500903784594358,28.48489675115014,EFGC
26,17.171915006105664,36.14509230285887,0.9919987362152181,18.973177296753207,EFGC
