"","parameter","mean","med","lowerCI","upperCI","lowerQ","upperQ"
"1","Tmin",14.04244,14,11.3,17.2,13.1,14.9
"2","Tmax",33.0857266666667,34.2,26.7,36.5,31.2,35.3
"3","peak",27.7991733333333,27.9,25.1,29.8,27.1,28.7
