iteration,cf.T0,cf.Tm,cf.q,Tbreadth,traitTreatmentName
1,0.7807112221558468,46.08344964577477,0.0019430908749540287,45.302738423618926,EV
2,0.2649915970726578,49.8695011225229,0.0015638951552506808,49.60450952545024,EV
3,1.509758865654075,48.43909507595382,0.0017900886044289832,46.929336210299745,EV
4,0.648486343821108,48.21168149768344,0.0016274795940251848,47.56319515386234,EV
5,0.8150089973173749,52.1657614396302,0.0015073814286524314,51.350752442312825,EV
6,0.3985888627121723,60.87376727462066,0.0010661137989349501,60.47517841190849,EV
7,0.21061888488586025,49.66696957194642,0.001517536195604844,49.45635068706056,EV
8,1.0374311905149212,48.64707144956018,0.0017969762744509989,47.60964025904526,EV
9,2.328017935201312,45.28613645630586,0.0018611831978950766,42.95811852110455,EV
10,1.7662678315219493,50.765653169263594,0.0016014037573770642,48.99938533774164,EV
11,2.858658600358545,51.91896692510722,0.0016023350954900795,49.060308324748675,EV
12,1.2674986224865648,50.51311572538654,0.001610103529900083,49.24561710289998,EV
13,1.0404270179224162,49.28644090586871,0.0017268113669184162,48.24601388794629,EV
14,2.530032732679409,48.46152055809767,0.001732275945190045,45.93148782541826,EV
15,1.451040237603667,51.96099794191837,0.0015102031990686304,50.50995770431471,EV
16,1.1139635584193073,52.05634381916551,0.0013730995534333825,50.942380260746205,EV
17,0.9577364786401149,56.659619719043945,0.0012661468715408706,55.70188324040383,EV
18,1.279110311449907,51.30803668577554,0.0014995448709910497,50.028926374325636,EV
19,2.191515794842253,46.45038950680107,0.0020126386638225505,44.25887371195882,EV
20,0.4175532013927594,48.11431668038449,0.0016013777306454703,47.696763478991734,EV
21,2.0675135639992286,47.64957094751984,0.0019267801766176854,45.58205738352061,EV
22,1.0522326400384934,53.135912969425334,0.0016583356472023472,52.08368032938684,EV
23,0.3048021908927586,49.55051800012583,0.0016227175765982235,49.24571580923307,EV
24,4.599643087098498,42.661360982266196,0.0030841478257437466,38.061717895167696,EV
25,1.960677295235309,49.40703760854048,0.0017844493027976997,47.44636031330517,EV
26,1.2470154469826409,49.09128830453455,0.001686764689548165,47.84427285755191,EV
27,1.677936456257067,49.70829939630845,0.0016692676335218716,48.03036294005138,EV
28,0.2686499841576646,53.63207724388818,0.001292357300114255,53.36342725973052,EV
29,1.0843818211451046,53.7722102286846,0.001412933890672774,52.68782840753949,EV
30,6.986787883064404,45.62944519615735,0.002753641321624124,38.64265731309295,EV
31,4.302115379321371,43.641892295128756,0.0026783597487089867,39.339776915807384,EV
32,0.5459351214848893,47.4235773326568,0.001826514963829097,46.87764221117191,EV
33,1.4767965619201677,50.013393578997814,0.0016506422298233456,48.536597017077646,EV
34,1.2914849490770652,46.22136479716778,0.0018934703997206311,44.929879848090714,EV
35,1.2087701394616717,45.12188843866602,0.0019831416389652565,43.91311829920435,EV
36,0.9346186509432117,47.20015014563675,0.0019966893927612023,46.26553149469353,EV
37,0.40714717009044904,50.65037454736796,0.001542961292210021,50.24322737727751,EV
38,4.195208462835275,46.51476651373281,0.002376749670928381,42.319558050897534,EV
39,2.9068418960594524,46.34622482857476,0.0020272772175521357,43.43938293251531,EV
40,2.248910112468507,48.39525607811211,0.0019164993768864115,46.146345965643604,EV
41,0.9467169491788561,48.25238407052892,0.0017211742511417606,47.30566712135006,EV
42,3.752843300066644,51.485193272627654,0.0019288513727095521,47.73234997256101,EV
43,2.1587207488809113,44.155263779013126,0.002277021144161155,41.996543030132216,EV
44,3.5865879404896885,44.57644885963394,0.002524077190162841,40.989860919144256,EV
45,0.11580778767526774,52.05268272155143,0.0013671083552526696,51.93687493387616,EV
46,0.6812614128689175,51.917750946502196,0.0013765256744203934,51.236489533633275,EV
47,0.33475337592837523,53.59753448490026,0.0014403135381274228,53.262781108971886,EV
48,1.6308794638819348,49.370271310367805,0.001705642537367077,47.73939184648587,EV
49,2.357083603451077,44.80254576255294,0.002201256516086787,42.445462159101865,EV
50,3.834157302316772,42.66458920486808,0.0026563395143676554,38.83043190255131,EV
51,0.7859999621620479,49.705069509497484,0.0017194153778970801,48.91906954733544,EV
52,3.7743460168534897,47.42342056042944,0.00235973196847786,43.64907454357595,EV
53,1.2415403421811997,50.58633497533694,0.001666850626011137,49.344794633155736,EV
54,0.27252861381628785,51.08839677551574,0.0015202726952900567,50.815868161699456,EV
55,4.224936522027976,45.95942718902316,0.0022524377663184244,41.734490666995185,EV
56,1.0821973520111072,42.16026722683532,0.0024593511054553066,41.078069874824216,EV
57,3.2602316456663507,42.68495730148877,0.002463840302195285,39.42472565582242,EV
58,1.3880961178726285,49.72822463899287,0.0015804698133623394,48.34012852112024,EV
59,0.2633552713928561,51.59959816948014,0.0014553111964548872,51.336242898087285,EV
60,1.2734442698561412,51.463396380929986,0.0016073919987045927,50.18995211107384,EV
61,1.140357577007081,52.195376921689956,0.0015045537354345965,51.055019344682876,EV
62,1.2939067050234412,55.011920773642416,0.0014078649690341025,53.71801406861898,EV
63,1.2723371053531656,49.380000785296204,0.0014834505441196333,48.10766367994304,EV
64,0.8277346375432618,55.51474102642716,0.001250012993870207,54.6870063888839,EV
65,5.874148170846319,42.7884229064789,0.003256729734054401,36.91427473563258,EV
66,1.4580844086466516,50.03471204651308,0.0016288315148642349,48.57662763786643,EV
67,1.6693785641316532,49.43410943287422,0.001504642130345515,47.76473086874257,EV
68,0.6064791528647623,48.623451971909574,0.001640677291236709,48.01697281904481,EV
69,0.09595724278781063,43.699820286192654,0.002007337836696037,43.60386304340484,EV
70,0.21277019686735457,52.90468526412011,0.0013604582777013885,52.69191506725276,EV
