term,mean,sd,lowerCI,median,upperCI,trait
cf.T0,0.097599559,0.12477517,2.80E-04,0.05149181,0.445339839,MDR
cf.Tm,35.21640946,0.756213103,33.76385178,35.1990022,36.7294738,MDR
cf.q,6.88E-05,1.98E-06,6.49E-05,6.88E-05,7.27E-05,MDR
cf.sigma,0.008463128,0.00106879,0.006714965,0.00835628,0.010851115,MDR
deviance,-269.8074682,3.913964854,-274.2613927,-270.8553004,-259.7511762,MDR
Topt,28.18299333,0.605506853,27,28.2,29.4,MDR
Tbreadth,35.11880991,0.764085892,33.65212243,35.10556131,36.64023755,MDR
