term,mean,sd,lowerCI,median,upperCI,trait,lowerQ,upperQ
cf.T0,7.5659541811730096,1.1990259390970712,5.008485917990084,7.676600327366348,9.678500623901773,MDR,NA,NA
cf.Tm,39.744877784604604,2.6393384370857262,34.89056652861549,39.666523112034945,44.560557265699444,MDR,NA,NA
cf.q,3.935691791953786e-4,9.718920931907246e-5,2.456156852430804e-4,3.800937918870659e-4,6.143094806937202e-4,MDR,NA,NA
cf.sigma,0.026924221497382383,0.0032053253189520048,0.02165325624705175,0.026566528406968288,0.034161358056792664,MDR,NA,NA
deviance,-253.1949091000101,2.893909467808654,-256.64959260316283,-253.8897911891526,-245.88144789078657,MDR,NA,NA
Topt,23.6552,1.1326001906818932,21.6,23.6,25.9,MDR,22.8,24.5
Tbreadth,32.17892360343159,3.4173488415872373,25.839870600335324,32.094943071951455,38.575928396344956,MDR,NA,NA
