"","term","mean","sd","lowerCI","lowerQ","median","upperQ","upperCI","trait"
"1","Tmin",13.9684733333333,1.39112846945089,11.3,13.1,13.9,14.9,16.7,"S"
"2","Tmax",30.5035,1.99496944259099,26.3,29.2,30.7,31.9,34,"S"
"3","Topt",24.6161866666667,1.01986306263798,22.1,24.1,24.7,25.3,26.3,"S"
"4","Tbreadth",16.5350266666667,2.38201470725097,11.8,14.9,16.6,18.2,21,"S"
