term,mean,sd,lowerCI,median,upperCI,trait,lowerQ,upperQ
cf.T0,9.458364094883546,1.6012283463096928,6.447514024031751,9.363017611140808,12.71587505286171,pLA,NA,NA
cf.Tm,37.79250655945914,3.582259987347049,32.49426960331121,37.17172735069816,46.568001136738914,pLA,NA,NA
cf.q,0.0036929830118017626,0.001344430887902996,0.0016950724565375711,0.003503883422585081,0.0067923592981256505,pLA,NA,NA
cf.sigma,0.261711730753551,0.05303573954272544,0.18267941170548976,0.2533913332840094,0.38997504958569745,pLA,NA,NA
deviance,1.1219225689005636,3.0466318999639364,-2.6059421014457587,0.40666261496609835,8.898981905915518,pLA,NA,NA
Topt,23.620358333333332,1.785611120089302,20.8,23.4,28,pLA,22.4,24.5
Tbreadth,28.3341424645756,4.255948648366779,21.2981043872673,27.830035422413204,38.11712078559174,pLA,NA,NA
