term,mean,sd,lowerCI,median,upperCI,trait,lowerQ,upperQ
cf.T0,11.164683665480693,0.8805394999796085,9.397168793699947,11.186738501408678,12.835767461268238,pLA,NA,NA
cf.Tm,35.94536986880015,2.3706476587201566,31.213620757695907,35.87058818585153,41.07638931539943,pLA,NA,NA
cf.q,0.0058235728095706535,0.0016461726715735466,0.0028910978129567566,0.005688403938354815,0.009473076643240312,pLA,NA,NA
cf.sigma,0.12816787337298755,0.02005077326044484,0.09623519170140926,0.12565338105783908,0.17394950149038998,pLA,NA,NA
deviance,-68.58986818665254,7.647448126344544,-80.80611104069942,-69.59351159634474,-51.04173978643982,pLA,NA,NA
sigma_T0,1.0392503014712515,1.0576702548874537,0.03403606695379776,0.7460056427009363,3.9406705419791,pLA,NA,NA
sigma_Tm,4.8110940540853795,1.9147046843755509,1.9224476707099831,4.492492276460323,9.197860785706386,pLA,NA,NA
sigma_q,0.0029729553511768647,0.0016227391873397975,7.928124370124018e-4,0.002618448367356296,0.007301371937829233,pLA,NA,NA
Topt,22.23175,2.2202464717607997,16.5,23,25,pLA,21.5,23.5
Tbreadth,24.780686203319455,2.620144883081485,19.6490522392653,24.707303447011167,30.323070486759658,pLA,NA,NA
