trait_name,temp,trait,error_pos,error_neg,error_unit,trait_def,trait2_name,trait2,paras_genus,paras_species,host_genus,host_species,citation,doi,data_source,notes,latitude,longitude
1/PDR,14.1,NA,,,,,,,Setaria,tundra,see notes,NA,Laaksonen_2009_ParasitVectors,10.1186/1756-3305-2-3,result text,development was not completed; outdoor conditions; parasites a mixture of aedes spp.,65,25.5
1/PDR,21,14,,,,,,,Setaria,tundra,see notes,NA,Laaksonen_2009_ParasitVectors,10.1186/1756-3305-2-3,result text,laboratory conditions; parasites in a mixture of aedes and anopheles spp.,65,25.5
