temp,parasite development time (days),Infection rate (%),notes
14.5,NA, 55.38083538083539,
18.5,43, 89.77886977886979,
22.5,16, 89.38574938574939,
26.5,11, 74.44717444717446,
30.5,9, 49.680589680589684,
34.5,9, 36.31449631449631,
