term,mean,sd,lowerCI,median,upperCI,trait,lowerQ,upperQ
cf.T0,8.287606185363483,2.516999832885652,3.3530533014239565,8.20607241870815,13.56519713388362,EV,NA,NA
cf.Tm,42.704264335234356,1.7062645314630505,38.638187600827855,43.029642465285505,44.90559448857111,EV,NA,NA
cf.q,0.0026019099983982897,6.803438229212988e-4,0.0016738582390085357,0.002489891183114327,0.004237249968430409,EV,NA,NA
cf.sigma,0.15418049864620645,0.03519351577311149,0.09703788234131375,0.14983503629645403,0.23706804771112805,EV,NA,NA
deviance,-39.00860936645109,11.461872191775695,-64.60609406487141,-38.44786054909963,-17.158854499268337,EV,NA,NA
sigma_T0,3.8020512780899614,1.9535538456193677,0.5027927553869265,3.5695597684321423,8.424435426200557,EV,NA,NA
sigma_Tm,3.886768759460853,2.1265479520393193,0.39975999930155187,3.6216500636813107,8.901187373483143,EV,NA,NA
sigma_q,4.3876744070249306e-4,4.4446271079710343e-4,1.4941134816897597e-5,3.1669041872806785e-4,0.0016514065165381376,EV,NA,NA
Topt,25.383966666666666,1.6168056581599326,22,25.5,28,EV,24.5,26.5
Tbreadth,34.41665814987087,3.32617544426236,27.151013180896207,34.638014286464475,40.44296507681842,EV,NA,NA
